Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Defect),Inward issue link (Depend),Attachment,Attachment,Attachment,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
troubleshoot failure of CE243500C8D,CTET-5354,82598,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,12/Sep/24 1:04 PM,12/Sep/24 2:18 PM,18/Sep/24 8:40 AM,12/Sep/24 2:18 PM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7ea4a1c6,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cpc:c,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_4432457_*|*_10000_*:*_1_*:*_14129_*|*_10001_*:*_1_*:*_0,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,12/Sep/24 2:18 PM
Create other load testing scripts (imbalanced and surge),CTET-5353,82593,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,12/Sep/24 11:53 AM,17/Sep/24 4:16 PM,18/Sep/24 8:40 AM,,,0,,,,Joe.Wardwell,,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d61f9cc,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07e0v:9,,,,,,,,,,,,,,,,,,,,,System Val - CTET - 91824,,,,,,,,,,,,,,,,3.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,12/Sep/24 11:53 AM
troubleshoot failure of CE243500C8B,CTET-5350,82590,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,12/Sep/24 11:39 AM,12/Sep/24 11:40 AM,18/Sep/24 8:40 AM,12/Sep/24 11:40 AM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@689165a,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cpc:b,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_11889_*|*_10001_*:*_1_*:*_0,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,12/Sep/24 11:40 AM
troubleshoot failure of CE243500C7B,CTET-5349,82589,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,12/Sep/24 11:39 AM,12/Sep/24 2:18 PM,18/Sep/24 8:40 AM,12/Sep/24 11:39 AM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b3fe22a,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,1.0,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cpc:d,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_15474_*|*_10001_*:*_1_*:*_0,12/Sep/24 2:18 PM;712020:b063ae4d-b604-4c62-856d-f0138b203869;fails every time on program step with a fastboot error. Send back to repair,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,12/Sep/24 11:39 AM
troubleshoot failure of CE243500C19,CTET-5348,82587,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,12/Sep/24 9:49 AM,12/Sep/24 12:10 PM,18/Sep/24 8:40 AM,12/Sep/24 12:10 PM,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f76a987,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07cpc:9,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_8476285_*|*_10000_*:*_1_*:*_15038_*|*_10001_*:*_1_*:*_0,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,Done,12/Sep/24 12:10 PM
"troubleshoot ""Volts batt pos to neg Convin fbk"" issue",CTET-5347,82586,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,12/Sep/24 9:44 AM,18/Sep/24 8:40 AM,18/Sep/24 8:40 AM,,,0,,,,Erich Beyer,,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7671baad,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5283,BIC/BIP for NPI 1B - Test Optimization and Improvement,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ead:,,,,,,,,,,,,,,,,,,,,,CTET 91124,CTET 91824,,,,,,,,,,,,,,,1.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,82521,BIC/BIP for NPI 1B - Test Optimization and Improvement,In Progress,12/Sep/24 9:45 AM
Resource Analysis,CTET-5346,82584,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,12/Sep/24 8:42 AM,18/Sep/24 8:40 AM,12/Sep/24 8:42 AM,,,0,,,,Mazin Almaqablah,,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@386a3c0d,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ea9:,,,,,,,,,,,,,,,,,,,,,CTET 91124,CTET 91824,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,To Do,12/Sep/24 8:42 AM
Run tests with the orchestrator and provide feedback to SW,CTET-5345,82583,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,12/Sep/24 8:28 AM,18/Sep/24 6:31 AM,18/Sep/24 8:40 AM,18/Sep/24 6:31 AM,,0,,"I shared some feedback about the UI experience. We observed some issues where:

* Logs were initially not accessible or loaded. [@Viral Doshi|https://neurio.slack.com/team/U0744K3B59T] unblocked me on this. I still need to review the page he created to fix this if this happens again. {color:#36b37e}*(RESOLVED)*{color}
* successfully run tasks were reported as failures. [@Debasmit Roy|https://neurio.slack.com/team/U06N1114AKZ] suggested that it could be how we save our test results for failures in the code. I modified the code of the conducted tasks to not log failures, but that didn't fix the misreporting. I will confirm with Shubhada if my code changes are being updated in the UI.{color:#36b37e} {color}{color:#36b37e}*(RESOLVED)*{color}
* The test execution was completed but the UI reported still in progress (Separate ticket for issue here: [[MFS-6] UI stuck ""In progress"" after test execution is complete. - Jira (atlassian.net)|https://generacet.atlassian.net/browse/MFS-6]).
* live telemetry is only visible for some tests. How can we decide what parameters are displayed? (Separate ticket for issue here: [[MFS-5] Live telemetry data not visible for all tests. - Jira (atlassian.net)|https://generacet.atlassian.net/browse/MFS-5]). {color:#36b37e}*(RESOLVED)*{color}

I am already working with [@Shubhada Mohite|https://neurio.slack.com/team/U0726ABCUG3] and [~accountid:712020:8924d91c-af58-4cf1-ac72-96a5d8ca0135] on this.",,Seun Osiyemi,,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,,17/Sep/24 1:37 PM;ug:1c3446f8-5c04-41e3-a2c2-45a9d5c98ced;image-20240917-203657.png;https://neurio.atlassian.net/rest/api/3/attachment/content/51761,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@67a1b285,1.0,,,,,,,,,,,,,,,0.0,,,,,,,,,4.0,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07c8h:,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,13.0,,,0.0,,,,,,,,,,1.0,,,,,,3_*:*_1_*:*_82253013_*|*_10000_*:*_1_*:*_429130909_*|*_10001_*:*_1_*:*_0,"17/Sep/24 8:30 AM;60957172a56f2f006f65f1e9;Viral created this page to assist with viewing logs: [View Logs on Grafana Loki - Factory Software - Confluence (atlassian.net)|https://generacet.atlassian.net/wiki/spaces/FS/pages/486801661/View+Logs+on+Grafana+Loki]

See correct query in the screenshot below:

!image-20240917-203657.png|width=1689,height=690,alt=""image-20240917-203657.png""!",17/Sep/24 9:17 AM;60957172a56f2f006f65f1e9;Bug ticket created for issues here: [[MFS-1] Orchestrator Issues on Voltron tester - Jira (atlassian.net)|https://generacet.atlassian.net/browse/MFS-1],"17/Sep/24 1:38 PM;60957172a56f2f006f65f1e9;Tickets for other orchestrator/UI related issues:

[https://generacet.atlassian.net/browse/MFS-5|https://generacet.atlassian.net/browse/MFS-5|smart-link] 
[https://generacet.atlassian.net/browse/MFS-6|https://generacet.atlassian.net/browse/MFS-6|smart-link] ","17/Sep/24 1:52 PM;60957172a56f2f006f65f1e9;Regarding the issue of live telemetry data not visible for all tests reported here:[https://generacet.atlassian.net/browse/MFS-5|https://generacet.atlassian.net/browse/MFS-5|smart-link] 

Shubhada confirmed new signals can be added by configuring them in the telemetry.json file. The telemetry.json file can be edited directly, and then refresh the UI to adopt the new changes.
[https://generacet.atlassian.net/wiki/spaces/FS/pages/450790026/Using+the+UI+Grafana+and+Influx|https://generacet.atlassian.net/wiki/spaces/FS/pages/450790026/Using+the+UI+Grafana+and+Influx|smart-link] ",78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,Done,18/Sep/24 6:31 AM
support BIC/BIP,CTET-5344,82582,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,12/Sep/24 8:05 AM,17/Sep/24 9:36 AM,18/Sep/24 8:40 AM,17/Sep/24 9:36 AM,,0,support,,,phill.McC,,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48a92558,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5284,BIC/BIP for NPI 1B - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07ejb:i,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,2.0,,,,,,10000_*:*_1_*:*_437456854_*|*_10001_*:*_1_*:*_0,,,,,82522,BIC/BIP for NPI 1B - Deployment and Handoff,Done,17/Sep/24 9:36 AM
Clean up ALC test results excel sheet.,CTET-5343,82581,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,12/Sep/24 8:03 AM,17/Sep/24 9:43 AM,18/Sep/24 8:40 AM,17/Sep/24 9:43 AM,,0,,,,phill.McC,,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@437c0d9b,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5287,ALC/ALP - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07e9l:,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_438020704_*|*_10001_*:*_1_*:*_0,,,,,82525,ALC/ALP - Deployment and Handoff,Done,17/Sep/24 9:43 AM
Clean up ALC test procedure for celestica,CTET-5342,82580,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,12/Sep/24 8:01 AM,17/Sep/24 9:43 AM,18/Sep/24 8:40 AM,17/Sep/24 9:43 AM,,0,,,,phill.McC,,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a324a20,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5287,ALC/ALP - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07e9h:,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_438117675_*|*_10001_*:*_1_*:*_0,,,,,82525,ALC/ALP - Deployment and Handoff,Done,17/Sep/24 9:43 AM
Support BIC/BIP,CTET-5341,82579,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,12/Sep/24 8:01 AM,17/Sep/24 8:06 AM,18/Sep/24 8:40 AM,17/Sep/24 8:06 AM,,0,,,,Ian Gills,,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@69019628,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5284,BIC/BIP for NPI 1B - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|hzzgje:ni,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_432340074_*|*_10001_*:*_1_*:*_0,,,,,82522,BIC/BIP for NPI 1B - Deployment and Handoff,Done,17/Sep/24 8:06 AM
Clean up ALP test result excel sheet. ,CTET-5340,82578,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,12/Sep/24 8:00 AM,17/Sep/24 9:43 AM,18/Sep/24 8:40 AM,17/Sep/24 9:43 AM,,0,,,,phill.McC,,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@616fd2b9,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5287,ALC/ALP - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07e9j:,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_438167145_*|*_10001_*:*_1_*:*_0,,,,,82525,ALC/ALP - Deployment and Handoff,Done,17/Sep/24 9:43 AM
Clean up ALP test procedure for celestica,CTET-5339,82577,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,phill.McC,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,12/Sep/24 7:56 AM,17/Sep/24 9:44 AM,18/Sep/24 8:40 AM,17/Sep/24 9:44 AM,,0,,,,phill.McC,,,712020:4dbd09e6-b175-4c1b-b264-9c4c81a57044,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5fff4be2,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5287,ALC/ALP - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|i07e9k:,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,4.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_438446694_*|*_10001_*:*_1_*:*_0,,,,,82525,ALC/ALP - Deployment and Handoff,Done,17/Sep/24 9:44 AM
Support ALP and ALC,CTET-5338,82576,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,12/Sep/24 7:54 AM,17/Sep/24 8:06 AM,18/Sep/24 8:40 AM,17/Sep/24 8:06 AM,,0,,,,Ian Gills,,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@18732621,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5287,ALC/ALP - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|hzzgje:n,,,,,,,,,,,,,,,,,,,,,CTET 91124,,,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,1.0,,,,,,10000_*:*_1_*:*_432752679_*|*_10001_*:*_1_*:*_0,,,,,82525,ALC/ALP - Deployment and Handoff,Done,17/Sep/24 8:06 AM
Train Celestica how to run and log BIC and BIP Tests,CTET-5337,82575,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,12/Sep/24 7:53 AM,18/Sep/24 8:40 AM,18/Sep/24 8:40 AM,,,0,,,,Ian Gills,,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5ec5a804,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5284,BIC/BIP for NPI 1B - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|hzzgje:m,,,,,,,,,,,,,,,,,,,,,CTET 91124,CTET 91824,,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,82522,BIC/BIP for NPI 1B - Deployment and Handoff,In Progress,12/Sep/24 7:58 AM
Get BIP & BIC procedure usable by Celestica,CTET-5336,82574,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,Ian Gills,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,12/Sep/24 7:52 AM,18/Sep/24 8:40 AM,18/Sep/24 8:40 AM,,,0,,,,Ian Gills,,,712020:438dcff5-c309-4f6e-ae72-9bfbcf103c08,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@15eec93e,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,{},,,,,CTET-5284,BIC/BIP for NPI 1B - Deployment and Handoff,,,,,,,,,,0.0,,,,,,,,,,,,,2|hzzgje:l,,,,,,,,,,,,,,,,,,,,,CTET 91124,CTET 91824,,,,,,,,,,,,,,,8.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,82522,BIC/BIP for NPI 1B - Deployment and Handoff,In Progress,12/Sep/24 7:58 AM
