Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (1. Reason for Change),Custom field (2. Parties Impacted),Custom field (3. Work Instructions Affected),Custom field (4. Training Plan Required),Custom field (Acceptance Criteria),Custom field (Acceptance Test(s)),Custom field (Additional Guidance),Custom field (Affected services),Custom field (Approvals),Custom field (Attachment count),Custom field (Begin Date),Custom field (Bug Description (with template)),Custom field (Bugs of Epic count),Custom field (Bugs of Epic in Done status category count),Custom field (Bugs of Epic in In Progress status category count),Custom field (Bugs of Epic in To Do status category count),Custom field (CVSS),Custom field (CWE),Custom field (Category),Custom field (Category - Root Cause),Custom field (Change Type),Custom field (Checklist Completed),Custom field (Checklist Content YAML),Custom field (Checklist Progress),Custom field (Checklist Progress %),Custom field (Checklist Text),Custom field (Checklist Text (view-only)),Custom field (Children of Epic count),Custom field (Children of Epic in Done status category count),Custom field (Children of Epic in In Progress status category count),Custom field (Children of Epic in To Do status category count),Custom field (Cloud Platform),Custom field (Cloud Project),Custom field (Comment count),Custom field (Date Implemented),Custom field (Definition of Done),Custom field (Definition of Done),Custom field (Description (with template)),Custom field (Development),Custom field (DoD),Custom field (Domain),Custom field (End Date),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (External issue ID),Custom field (Goals),Custom field (Inherent impact),Custom field (Inherent probability),Custom field (Inherent risk),Custom field (Issue color),Custom field (Issue link count),Custom field (Link),Custom field (Link to Aha),Custom field (Locked forms),Custom field (Neurio Project),Custom field (Neurio Team),Custom field (Observed Result),Custom field (Open forms),Custom field (PWRfleet Bug Template),Custom field (Parent Link),Custom field (Persona),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Remaining Story Points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Remaining story points),Custom field (Repository URL),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Residual impact),Custom field (Residual probability),Custom field (Residual risk),Custom field (Responders),Custom field (Revision),Custom field (Risk updated),Custom field (Risk updated by),Satisfaction rating,Custom field (Satisfaction date),Custom field (Security Vulnerability Type),Custom field (Sentiment),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Steps To Reproduce),Custom field (Stories of Epic count),Custom field (Stories of Epic in Done status category count),Custom field (Stories of Epic in In Progress status category count),Custom field (Stories of Epic in To Do status category count),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Subtask count),Custom field (Subtype),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Triaged),Custom field (Tshirt Size),Custom field (Updated by users count),Custom field (User Story),Custom field (Vulnerability),Custom field (WizID),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Comment,Comment,Parent,Parent summary,Status Category,Status Category Changed
"Increase reliability of serial number, firwmare version, and mac address parser",CTET-4943,81972,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,29/Aug/24 8:48 AM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,[https://pkg.go.dev/go.bug.st/serial#Port|https://pkg.go.dev/go.bug.st/serial#Port|smart-link] ,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@47db9040,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:i,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,"03/Sep/24 4:14 PM;712020:b063ae4d-b604-4c62-856d-f0138b203869;First attempt at this failed. The bufio wrapper of the serial port is preventing us from detecting that the serial port is waiting at a prompt. This will be necessary for this robustified code. Either I need to implement my own buffer, extend the bufio module, or switch to a buffered serial port module like this one: [https://pkg.go.dev/go.bug.st/serial#Port|https://pkg.go.dev/go.bug.st/serial#Port|smart-link] ",,78295,24-Q2-KR1.1: Update Flash Station Firmware,In Progress,03/Sep/24 10:29 AM
Document virtual environment multiple locations,CTET-4942,81971,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,29/Aug/24 8:47 AM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c662164,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2994,24-Q2-KR1.1: Update Flash Station Firmware,,,,,,,,,,,,,,,,,,,,,,,2|i0798y:9,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,78295,24-Q2-KR1.1: Update Flash Station Firmware,To Do,29/Aug/24 8:47 AM
support production in reno,CTET-4941,81970,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,29/Aug/24 8:47 AM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e03f5db,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,,,,,,,,,,,,,,2|i07b3t:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,To Do,29/Aug/24 8:47 AM
Validate new firmware on eol tester,CTET-4940,81969,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,Erich Beyer,712020:b063ae4d-b604-4c62-856d-f0138b203869,29/Aug/24 8:47 AM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Erich Beyer,,712020:b063ae4d-b604-4c62-856d-f0138b203869,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@78982aed,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-2998,24-Q2-KR2.2: SDS Production Code Merged to Main,,,,,,,,,,,,,,,,,,,,,,,2|i07b3l:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,78299,24-Q2-KR2.2: SDS Production Code Merged to Main,To Do,29/Aug/24 8:47 AM
Timeline for ICT testers with available quotes,CTET-4939,81968,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,29/Aug/24 8:44 AM,04/Sep/24 10:34 AM,04/Sep/24 10:32 AM,,,0,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@144b8b04,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|hzzgd5:08zzzzzzzz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,To Do,29/Aug/24 8:44 AM
Resource analysis based on new projects,CTET-4938,81966,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,29/Aug/24 8:40 AM,04/Sep/24 10:06 AM,04/Sep/24 10:06 AM,04/Sep/24 10:06 AM,,0,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55416f52,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b2x:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_523542506_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 10:06 AM
"Timelines for new projects (ALC, ALP, DLG, Manta, BIC, BIP, Penguin, Voltron)",CTET-4937,81965,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,Mazin Almaqablah,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,29/Aug/24 8:39 AM,04/Sep/24 10:05 AM,04/Sep/24 10:05 AM,04/Sep/24 10:05 AM,,0,,,Mazin Almaqablah,,712020:d592e2ed-893f-4a5a-acf1-5e11b6c7a174,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@53e8ea5f,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b2p:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_523608160_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 10:05 AM
Share ALP Board to vendors for ICT Testing feedback,CTET-4936,81961,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,28/Aug/24 4:38 PM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Soham Dange,,712020:2b67478a-d210-4a0a-bf27-2e926436841b,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6067d9f6,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b1t:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In Progress,04/Sep/24 10:26 AM
Revised RFQ for Manta ICT Testing - V2,CTET-4935,81960,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,28/Aug/24 4:34 PM,03/Sep/24 3:26 PM,04/Sep/24 2:25 PM,03/Sep/24 3:26 PM,,0,,,Soham Dange,,712020:2b67478a-d210-4a0a-bf27-2e926436841b,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4a2e56ec,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4582,Set internal protocols for test requirements,,,,,,,,,,,,,,,,,,,,,,,2|i07b1l:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_22957658_*|*_10000_*:*_1_*:*_491369316_*|*_10001_*:*_1_*:*_0,,,81318,Set internal protocols for test requirements,Done,03/Sep/24 3:26 PM
DFT Checklist document V1,CTET-4934,81959,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,Soham Dange,712020:2b67478a-d210-4a0a-bf27-2e926436841b,28/Aug/24 4:34 PM,03/Sep/24 3:26 PM,04/Sep/24 2:25 PM,03/Sep/24 3:26 PM,,0,,,Soham Dange,,712020:2b67478a-d210-4a0a-bf27-2e926436841b,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7b43a6ea,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-4582,Set internal protocols for test requirements,,,,,,,,,,,,,,,,,,,,,,,2|i07b1d:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_22960946_*|*_10000_*:*_1_*:*_491408042_*|*_10001_*:*_1_*:*_0,,,81318,Set internal protocols for test requirements,Done,03/Sep/24 3:26 PM
Sync on DVP&R progress and strategy for 10/18/24 goal,CTET-4932,81956,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,28/Aug/24 3:17 PM,03/Sep/24 9:32 AM,04/Sep/24 2:25 PM,03/Sep/24 9:32 AM,,0,,,Joe.Wardwell,,5e6aa6b89abcc30ce60ca4ef,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@56b82ea,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b0p:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_497692567_*|*_10001_*:*_1_*:*_0,,,,,Done,03/Sep/24 9:32 AM
Integrate 5-ton HVAC in TC-16,CTET-4931,81953,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Critical,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,28/Aug/24 2:23 PM,03/Sep/24 8:55 AM,04/Sep/24 2:25 PM,03/Sep/24 8:55 AM,,0,,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@27528dd1,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,,,,,,,,,,,,,,2|i07act:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3_*:*_2_*:*_437167296_*|*_10000_*:*_1_*:*_61575052_*|*_10001_*:*_2_*:*_7338,,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,Done,03/Sep/24 8:55 AM
Create Quick Start Guide for Voltron Users,CTET-4930,81952,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,28/Aug/24 2:22 PM,30/Aug/24 1:54 PM,04/Sep/24 2:25 PM,30/Aug/24 1:54 PM,,0,,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61dfe2ab,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07b09:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_109470621_*|*_10000_*:*_1_*:*_61667569_*|*_10001_*:*_1_*:*_0,,,,,Done,30/Aug/24 1:54 PM
Fix all Linter issues and create PR,CTET-4929,81951,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Major,Done,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,Tanner Whipps,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,28/Aug/24 2:21 PM,04/Sep/24 12:29 PM,04/Sep/24 2:25 PM,04/Sep/24 12:29 PM,,0,,,Tanner Whipps,,712020:6db8ec7c-44cf-4e10-b192-736802f9538b,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@19ae4b37,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i07b01:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,3_*:*_1_*:*_99235923_*|*_10000_*:*_1_*:*_498877824_*|*_10001_*:*_1_*:*_0,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,Done,04/Sep/24 12:29 PM
Conduct testing on manta 1.1.0 RC8 build and verify it addresses the compliance fixes,CTET-4928,81949,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,28/Aug/24 1:54 PM,03/Sep/24 9:31 AM,04/Sep/24 2:25 PM,03/Sep/24 9:31 AM,,0,,,Seun Osiyemi,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@552abc5b,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3010,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,,,,,,,,,,,,,,,,,,,,,,,2|i07azt:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,10547_*:*_1_*:*_1889_*|*_10000_*:*_1_*:*_502606711_*|*_10001_*:*_1_*:*_0,,,78311,24-Q2-KR7.2: Validate BM Firmware Release in 48 Hours,Done,03/Sep/24 9:31 AM
Build new binary for Voltron and run tests with the UI,CTET-4927,81948,Task,To Do,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,28/Aug/24 12:19 PM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,"Useful links:

[Software Test Framework Tutorial - Factory Software - Confluence (atlassian.net)|https://generacet.atlassian.net/wiki/spaces/FS/pages/443613664/Software+Test+Framework+Tutorial]

[Running tasks from the UI - Factory Software - Confluence (atlassian.net)|https://generacet.atlassian.net/wiki/spaces/FS/pages/447152231/Running+tasks+from+the+UI]

[View Logs on Grafana Loki - Factory Software - Confluence (atlassian.net)|https://generacet.atlassian.net/wiki/spaces/FS/pages/486801661/View+Logs+on+Grafana+Loki]",,Seun Osiyemi,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@48e80ca8,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,CTET-3009,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,,,,,,,,,,,,,,,,,,,,,,,2|i07azl:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,78310,24-Q2-KR7.1: Voltron Runs 80% Automated Tests,To Do,04/Sep/24 1:10 PM
Complete compliance course,CTET-4926,81947,Task,Done,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,Done,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,28/Aug/24 12:14 PM,04/Sep/24 8:09 AM,04/Sep/24 2:25 PM,04/Sep/24 8:09 AM,,0,,,Seun Osiyemi,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@61d284f5,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07azd:,,,,,,,,,,,,,,,,,,,,,CTET 82824,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,10000_*:*_1_*:*_590102464_*|*_10001_*:*_1_*:*_0,,,,,Done,04/Sep/24 8:09 AM
Finish expense report,CTET-4925,81946,Task,In Progress,CTET,Core Test Engineering Technology ,software,Joe.Wardwell,5e6aa6b89abcc30ce60ca4ef,,,Medium,,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,Seun Osiyemi,60957172a56f2f006f65f1e9,28/Aug/24 12:14 PM,04/Sep/24 2:23 PM,04/Sep/24 2:25 PM,,,0,,,Seun Osiyemi,,60957172a56f2f006f65f1e9,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@30ef94e5,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,2|i07az5:,,,,,,,,,,,,,,,,,,,,,CTET 82824,CTET 90424,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,In Progress,03/Sep/24 4:30 PM
